title,year,duration,rating,directors,stars
Gone with the Wind,1939,3h 58m,8.2,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell"
The Secret in Their Eyes,2009,2h 9m,8.2,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago"
Chinatown,1974,2h 10m,8.1,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston"
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran"
V for Vendetta,2005,2h 12m,8.1,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves"
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,2h 35m,8.5,"Hikaru Kondô, Haruo Sotozaki","Zach Aguilar, Saeko Akiho, Yôhei Azakami"
Inside Out,2015,1h 35m,8.1,"Ronnie Del Carmen, Pete Docter","Amy Poehler, Bill Hader, Lewis Black"
Rashomon,1950,1h 28m,8.1,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
Catch Me If You Can,2002,2h 21m,8.1,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken"
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell"
Trainspotting,1996,1h 33m,8.1,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
The Bridge on the River Kwai,1957,2h 41m,8.1,David Lean,"William Holden, Alec Guinness, Jack Hawkins"
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Raging Bull,1980,2h 9m,8.1,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci"
Fargo,1996,1h 38m,8.1,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi"
Warrior,2011,2h 20m,8.1,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton"
Dead Poets Society,1989,2h 8m,8.1,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
The Wild Robot,2024,1h 42m,8.2,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
Barry Lyndon,1975,3h 5m,8.1,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee"
Ben-Hur,1959,3h 32m,8.1,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd"
Million Dollar Baby,2004,2h 12m,8.1,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman"
Mad Max: Fury Road,2015,2h,8.1,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult"
Gran Torino,2008,1h 56m,8.1,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley"
My Neighbor Totoro,1988,1h 26m,8.1,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
Children of Heaven,1997,1h 29m,8.2,Majid Majidi,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
Hacksaw Ridge,2016,2h 19m,8.1,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey"
The Grand Budapest Hotel,2014,1h 39m,8.1,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
12 Years a Slave,2013,2h 14m,8.1,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
Before Sunrise,1995,1h 41m,8.1,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert"
Blade Runner,1982,1h 57m,8.1,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young"
Ratatouille,2007,1h 51m,8.1,"Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt"
Memories of Murder,2003,2h 12m,8.1,Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha"
Spider-Man: No Way Home,2021,2h 28m,8.2,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch"
How to Train Your Dragon,2010,1h 38m,8.1,"Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse"
Gone Girl,2014,2h 29m,8.1,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris"
"Monsters, Inc.",2001,1h 32m,8.1,"Pete Docter, David Silverman, Lee Unkrich","Billy Crystal, John Goodman, Mary Gibbs"
