title,year,rating,directors,stars,durasi_menit
The Usual Suspects,1995,8.5,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",106
Alien,1979,8.5,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",117
Modern Times,1936,8.5,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman",87
Rear Window,1954,8.5,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey",112
Django Unchained,2012,8.5,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",165
Once Upon a Time in the West,1968,8.5,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale",166
City Lights,1931,8.5,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee",87
Apocalypse Now,1979,8.4,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",147
WALL·E,2008,8.4,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin",98
Memento,2000,8.4,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",113
Dune: Part Two,2024,8.4,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson",166
Raiders of the Lost Ark,1981,8.4,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman",115
Avengers: Infinity War,2018,8.4,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",149
The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",137
Spider-Man: Into the Spider-Verse,2018,8.4,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld",117
Sunset Boulevard,1950,8.4,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",110
Witness for the Prosecution,1957,8.4,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton",116
Paths of Glory,1957,8.4,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",88
The Shining,1980,8.4,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",146
The Great Dictator,1940,8.4,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie",125
Inglourious Basterds,2009,8.4,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth",153
Aliens,1986,8.4,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn",137
12th Fail,2023,8.7,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi",147
High and Low,1963,8.4,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai",143
The Dark Knight Rises,2012,8.4,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway",164
Coco,2017,8.4,"Adrian Molina, Lee Unkrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",105
